name,title,url,headshot_image_url,date_updated,department,research_interests,personal_site
Christopher Ody,Research Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/ody_christopher.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Ody_Christopher.ashx,20180327,STRATEGY,"Dafny, Leemore S., Igal Hendel, Victoria Marone and Christopher Ody. 2017. Narrow Networks On The Health Insurance Marketplaces: Prevalence, Pricing, And The Cost Of Network Breadth. Health Affairs. 36(9): 1606-1614.Anecdotal reports and systematic research highlight the prevalence of narrow-network plans on the Affordable Care Act’s health insurance Marketplaces. At the same time, Marketplace premiums in the period 2014–16 were much lower than projected by the Congressional Budget Office in 2009. Using detailed data on the breadth of both hospital and physician networks, we studied the prevalence of narrow networks and quantified the association between network breadth and premiums. Controlling for many potentially confounding factors, we found that a plan with narrow physician and hospital networks was 16 percent cheaper than a plan with broad networks for both, and that narrowing the breadth of just one type of network was associated with a 6–9 percent decrease in premiums. Narrow-network plans also have a sizable impact on federal outlays, as they depress the premium of the second-lowest-price silver plan, to which subsidy amounts are linked. Holding all else constant, we estimate that federal subsidies would have been 10.8 percent higher in 2014 had Marketplaces required all plans to offer broad provider networks. Narrow networks are a promising source of potential savings for other segments of the commercial insurance market.",
Constantinos Skiadas,,http://www.kellogg.northwestern.edu/faculty/directory/skiadas_constantinos.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/skiadas_c.ashx,20180327,FINANCE,"Asset pricing theory, choice under uncertainty, mathematical economics",http://www.kellogg.northwestern.edu/faculty/skiadas/home.htm
Craig Furfine,Clinical Professor of Finance,http://www.kellogg.northwestern.edu/faculty/directory/furfine_craig.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/furfine_c.ashx,20180327,FINANCE,Commercial real estate finance; securitization; commercial and residential mortgages; bank capital requirements; interbank markets,
Craig Garthwaite,,http://www.kellogg.northwestern.edu/faculty/directory/garthwaite_craig.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Garthwaite_Craig_111416.ashx,20180327,STRATEGY,Health Economics; Pharmaceutical Industry; Public Finance; Political Economy,http://www.kellogg.northwestern.edu/faculty/garthwaite/htm/index.htm
Craig Wortmann,,http://www.kellogg.northwestern.edu/faculty/directory/wortmann_craig.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Wortmann_Craig_011017.ashx,20180327,INNOVATION & ENTREPRENEURSHIP,"Wortmann, Craig. ""What's your Story?"" : using stories to ignite performance and be more successful. Kaplan, 2006. Print.",
Damien Ma,Adjunct Lecturer of Global Initiatives in Management,http://www.kellogg.northwestern.edu/faculty/directory/ma_damien.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Ma-Damien.ashx,20180327,FINANCE,"Ma, Damien and William Adams. 2013. In Line Behind a Billion People: How Scarcity Will Define China's Ascent in the Next Decade. Pearson FT Press.",
Dan Keeler,Adjunct Lecturer of Global Management,http://www.kellogg.northwestern.edu/faculty/directory/keeler_dan.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Keeler_Dan_110216.ashx,20180327,FINANCE,,
Daniel Aaronson,Adjunct Professor of Managerial Economics & Decision Sciences,http://www.kellogg.northwestern.edu/faculty/directory/aaronson_daniel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Aaronson_Daniel_101014.ashx,20180327,MANAGERIAL ECONOMICS & DECISION SCIENCES,"Mazumder, Bhashkar, Daniel Aaronson and Fabian Lange. Forthcoming. Fertility Transitions Along the Extensive and Intensive Margins. American Economic Review.",
Daniel Aobdia,Associate Professor of Accounting Information & Management,http://www.kellogg.northwestern.edu/faculty/directory/aobdia_daniel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Aobdia_Daniel.ashx,20180327,ACCOUNTING INFORMATION & MANAGEMENT,"Auditing, Disclosure, Regulation, Labor inputs, Immigration, Culture, Information Spillovers",
Daniel Barron,Assistant Professor of Strategy,http://www.kellogg.northwestern.edu/faculty/directory/barron_daniel.aspx,http://www.kellogg.northwestern.edu/~/media/Images/faculty/headshot/Barron_Daniel_081114.ashx,20180327,STRATEGY,"Relational Contracts, Economics of Organizations, Contract Economics",https://sites.google.com/site/danielbarronecon/
